species,label,scientific_name,keypoints,protocol_keypoints,protocol_measurements,protocol_skeleton,protocol_lines,protocol_angles,protocol_ratios,runtime_protocol,runtime_detector,runtime_pose,train_images,val_images,train_annotations,val_annotations,det_map,det_map50,det_map75,kp_pck,kp_auc,kp_nme
carp,Carp,Cyprinus carpio,13,13,22,16,19,2,1,1,1,1,868,217,1015,243,0.871,0.988,0.966,0.9277564224477791,0.27202165072805623,0.13449525187377495
crab,Crab,Eriocheir sinensis,12,12,18,16,17,0,1,1,1,1,348,90,350,90,0.762,0.981,0.919,0.9744473176132158,0.2827645993448856,0.09747628467838938
crayfish,Crayfish,Procambarus clarkii,3,3,4,2,2,1,1,1,1,1,140,35,158,39,0.682,0.955,0.879,0.687044187044187,0.042854997854997856,0.09481344128599262
ms,Bass,Micropterus salmoides,12,12,18,16,17,0,1,1,1,1,266,67,279,68,0.687,0.97,0.86,0.9322888761321595,0.37409596061922656,0.10627627670021723
wuli,Snakehead,Channa argus,7,7,16,7,10,5,1,1,1,1,532,134,531,134,0.787,1.0,0.906,0.9668437808201192,0.6886967278703108,0.02794237225969261
